Teks Berita,Teks_Final,Label,Sumber
"Prabowo Mau SD hingga Kuliah Negeri Gratis, Teddy: Setiap Anak Berhak Dapat Pendidikan Layak",prabowo sd kuliah negeri gratis teddy anak berhak pendidikan layak,Fakta,Kompas Nasional
Sidang PHPU soal Syarat Pendidikan Gibran Dilanjutkan Rabu Lusa,sidang phpu syarat pendidikan gibran dilanjutkan rabu lusa,Fakta,Kompas Nasional
"Kepala BNPB-Menhut Akan Berkantor di Kalteng, Kawal Penanganan Karhutla",kepala bnpb menhut berkantor kalteng kawal penanganan karhutla,Fakta,Kompas Nasional
KPK Telusuri Asal-usul Belasan Rumah Mewah Milik Ipda Yayat Sudrajat,kpk telusuri usul belasan rumah mewah milik ipda yayat sudrajat,Fakta,Kompas Nasional
"Sidang PHPU Syarat Ijazah Gibran, KPU Diminta Serahkan Bukti Pembahasan Revisi PKPU",sidang phpu syarat ijazah gibran kpu serahkan bukti pembahasan revisi pkpu,Fakta,Kompas Nasional
Denny Indrayana Persoalkan Suket Penyetaraan Ijazah Gibran yang Diproses Kilat,denny indrayana persoalkan suket penyetaraan ijazah gibran diproses kilat,Fakta,Kompas Nasional
"Sidang Syarat Pendidikan Gibran, Hakim MK Saldi Isra Pertanyakan Pengawasan Bawaslu",sidang syarat pendidikan gibran hakim mk saldi isra pengawasan bawaslu,Fakta,Kompas Nasional
"Gaspol Hari Ini: Jika Ambang Batas Naik, Parpol Nonparlemen Tercekik?",gaspol ambang batas parpol nonparlemen tercekik,Fakta,Kompas Nasional
"Antisipasi Gagal Panen di Merauke, Tim Ekspedisi Patriot IPB University Pasang Stasiun Cuaca untuk Petani",antisipasi gagal panen merauke tim ekspedisi patriot ipb university pasang stasiun cuaca petani,Fakta,Kompas Nasional
Mendikdasmen Jelaskan soal Sekolah Tanpa Listrik di NTT Dapat Papan Interaktif Digital,mendikdasmen sekolah listrik ntt papan interaktif digital,Fakta,Kompas Nasional
Walhi dan Warga Temui PDI-P di DPR Adukan Konflik Lahan--Kerusakan Lingkungan,walhi warga temui pdi p dpr adukan konflik lahan kerusakan lingkungan,Fakta,Kompas Nasional
KPK Sita Dokumen Terkait Kasus Suap ATR/BPN dari Kantor Summarecon,kpk sita dokumen terkait suap atr bpn kantor summarecon,Fakta,Kompas Nasional
Denny Indrayana Sebut Informasi Gibran Tak Penuhi Syarat Pendidikan Ditutupi,denny indrayana informasi gibran penuhi syarat pendidikan ditutupi,Fakta,Kompas Nasional
KPK: OTT Bupati Bolmut Sirajudin Lasena Terkait Uang Proyek di Pemkab,kpk ott bupati bolmut sirajudin lasena terkait uang proyek pemkab,Fakta,Kompas Nasional
"680 Pengasuh Pesantren Jateng Ikuti Workshop, KH Imam Jazuli dan KH Anwar Iskandar Soroti Pendidikan Santri",pengasuh pesantren jateng ikuti workshop kh imam jazuli kh anwar iskandar soroti pendidikan santri,Fakta,Kompas Nasional
KPK Sita Ratusan Juta Rupiah dalam OTT Bupati Bolmut Sirajudin Lasena,kpk sita ratusan juta rupiah ott bupati bolmut sirajudin lasena,Fakta,Kompas Nasional
Bambang Widjojanto Sebut Ada Indikasi Manipulatif di Syarat Pendidikan Gibran,bambang widjojanto indikasi manipulatif syarat pendidikan gibran,Fakta,Kompas Nasional
"Manajer Kopdes Masih ""Nganggur"", Bakom: Penempatan Dilakukan Terukur",manajer kopdes nganggur bakom penempatan terukur,Fakta,Kompas Nasional
Syarat Pendidikan Gibran sebagai Cawapres Pernah Digugat ke PTUN,syarat pendidikan gibran cawapres digugat ptun,Fakta,Kompas Nasional
PKB soal Wacana Capres Didukung Minimal 2 Fraksi: Tunggu Pembahasan DPR,pkb wacana capres didukung minimal fraksi tunggu pembahasan dpr,Fakta,Kompas Nasional
"OTT KPK, Bupati Bolaang Mongondow Utara Sirajudin Lasena Ditangkap di Jakarta",ott kpk bupati bolaang mongondow utara sirajudin lasena ditangkap jakarta,Fakta,Kompas Nasional
"Prabowo Ingin PTN Gratis, Kemendikti Hitung Kebutuhan dan Anggarannya",prabowo ptn gratis kemendikti hitung kebutuhan anggarannya,Fakta,Kompas Nasional
"OTT, KPK Tangkap Bupati Bolaang Mongondow Utara Sirajudin Lasena",ott kpk tangkap bupati bolaang mongondow utara sirajudin lasena,Fakta,Kompas Nasional
KPK Kembali Geledah Rumah Mewah Ipda Yayat Sudrajat di Depok,kpk geledah rumah mewah ipda yayat sudrajat depok,Fakta,Kompas Nasional
2 Orang Kepercayaan Menteri Nusron Wahid Bungkam Usai Diperiksa KPK,orang kepercayaan menteri nusron wahid bungkam diperiksa kpk,Fakta,Kompas Nasional
"Golkar Sebut Syarat Pencalonan Capres Tetap Perlu meski ""Threshold"" Dihapus MK",golkar syarat pencalonan capres threshold dihapus mk,Fakta,Kompas Nasional
Memaknai Hari Keadilan Ekologis,memaknai keadilan ekologis,Fakta,Kompas Nasional
Wacana Syarat Capres via 2 Fraksi DPR Dinilai Hilangkan Hak Parpol Kecil,wacana syarat capres via fraksi dpr dinilai hilangkan hak parpol,Fakta,Kompas Nasional
Pemerintah Diminta Pastikan Keselamatan WNI di Tengah Konflik Houthi-Arab Saudi,pemerintah pastikan keselamatan wni konflik houthi arab saudi,Fakta,Kompas Nasional
