Teks Berita,Label,Sumber
[HOAKS] Konten Tampilkan Bocah 3 Tahun Ditelan Ular Piton,Hoax,Kompas Topik Pilihan
[HOAKS] Purbaya Temukan Data Uang Jokowi Ribuan Triliun di Bank China,Hoax,Kompas Topik Pilihan
[HOAKS] Nusron Wahid Sebut Semua Menteri Setor Uang Hasil Korupsi ke Jokowi,Hoax,Kompas Topik Pilihan
"[KLARIFIKASI] Ular dalam Foto Ini Telan Babi Hutan, Bukan Kontraktor IKN",Hoax,Kompas Topik Pilihan
[HOAKS] Video Istri Suahasil Umumkan Pendaftaran Bantuan Dana Hibah 2026,Hoax,Kompas Topik Pilihan
Cek Fakta Sepekan: Dapur MBG Dibakar | Purbaya Jadi Ketua Bea Cukai,Hoax,Kompas Topik Pilihan
[KLARIFIKASI] Ini Bukan Video KM Virgo Terombang-ambing di Laut Sebelum Tenggelam,Hoax,Kompas Topik Pilihan
[HOAKS] Menteri Bahlil Melarang Ojek Online Beli Pertalite,Hoax,Kompas Topik Pilihan
"[KLARIFIKASI] Ini Bukan Video Fenomena Hujan Api, tetapi Drone Malfungsi di China",Hoax,Kompas Topik Pilihan
[KLARIFIKASI] Ini Video Kebakaran Kilang Minyak Arab Saudi pada 2013,Hoax,Kompas Topik Pilihan
[KLARIFIKASI] Video Bangkai KM Virgo Ini Hasil Rekayasa AI,Hoax,Kompas Topik Pilihan
[HOAKS] Video Gus Iqdam Tawarkan Dana Bantuan untuk Pelunasan Utang,Hoax,Kompas Topik Pilihan
"[KLARIFIKASI] Ini Video Misil di Langit Madinah September 2025, Bukan Serangan Houthi 2026",Hoax,Kompas Topik Pilihan
[HOAKS] Purbaya Ditunjuk Menjadi Ketua Bea Cukai,Hoax,Kompas Topik Pilihan
[KLARIFIKASI] Video Ini Bukan Suasana KM Virgo Transport 8 Sebelum Tenggelam,Hoax,Kompas Topik Pilihan
[HOAKS] Video Polisi Mengaku Dapat Dana Bantuan Rp 500 Juta dari Kopdes Merah Putih,Hoax,Kompas Topik Pilihan
[HOAKS] Video Purbaya Sebut Tak Takut Ditembak dan Diracun Selama Jabat Menkeu,Hoax,Kompas Topik Pilihan
