Teks Berita,Label,Sumber
"Deretan Hoaks Catut KPK, Simak Daftarnya",Hoax,Liputan6 Cek Fakta
Cek Fakta: Tidak Benar Video Ini Bangkai KM Virgo,Hoax,Liputan6 Cek Fakta
"Deretan Hoaks terkait Papua Beredar di Media Sosial, Simak Faktanya",Hoax,Liputan6 Cek Fakta
"Kumpulan Hoaks Catut Nama Presiden: dari SBY, Jokowi hingga Prabowo",Hoax,Liputan6 Cek Fakta
"Ragam Hoaks Kepala Daerah Umumkan Bantuan, dari Gubernur Papua hingga Jawa Barat",Hoax,Liputan6 Cek Fakta
"Arab Saudi Jadi Sasaran Hoaks, Pemberian Gelar hingga Dana Hibah Palsu",Hoax,Liputan6 Cek Fakta
Cek Fakta: Hoaks Video Gubernur Papua Mathius D Fakhiri Sampaikan Bantuan Pemerintah,Hoax,Liputan6 Cek Fakta
Cek Fakta: Hoaks Artikel Presiden Prabowo Minta KPK Periksa Jokowi,Hoax,Liputan6 Cek Fakta
Cek Fakta: Hoaks Artikel Nusron Wahid Sebut Jokowi Terima Uang Suap 700 Miliar,Hoax,Liputan6 Cek Fakta
"Awas Tautan Pendaftaran CPNS Kementerian Ini Cuma Hoaks, Simak Daftarnya",Hoax,Liputan6 Cek Fakta
"Marak Hoaks Undian Berhadiah Bank BRI, Simak Agar Terhindar dari Penipuan",Hoax,Liputan6 Cek Fakta
"Hoaks Menerpa Menkeu Suahasil Nazara Beredar di Medsos, Simak Daftarnya",Hoax,Liputan6 Cek Fakta
"Hoaks Undian Berhadiah Catut Bank BNI, Awas Jangan Tertipu",Hoax,Liputan6 Cek Fakta
Waspada Informasi Palsu: Kenali Ciri-Ciri Artikel Hoaks Agar Tak Terjebak,Hoax,Liputan6 Cek Fakta
"Panduan Cek Desil Bansos, Hindari Jebakan Penipuan Online",Hoax,Liputan6 Cek Fakta
Cek Fakta: Hoaks Video Menkeu Suahasil Umumkan Program Dana Hibah,Hoax,Liputan6 Cek Fakta
"Kumpulan Hoaks Seputar Tilang, Simak Faktanya",Hoax,Liputan6 Cek Fakta
"Ragam Hoaks Undian Berhadiah Catut Bank Mandiri, Simak Daftarnya",Hoax,Liputan6 Cek Fakta
"Deretan Hoaks Pendamping Lokal Desa Beredar di Medsos, Cek Agar Tak Tertipu",Hoax,Liputan6 Cek Fakta
"Hoaks Kesehatan Makin Masif, Kemenkes Lakukan Langkah Ini",Hoax,Liputan6 Cek Fakta
"Ragam Hoaks Seputar Razia STNK, Simak Daftarnya",Hoax,Liputan6 Cek Fakta
"Kumpulan Hoaks Bansos Ibu Hamil Beredar di Medsos, Simak Daftar dan Faktanya",Hoax,Liputan6 Cek Fakta
Cek Fakta: Hoaks Link Pendaftaran Pendamping Lokal Desa Kemendes 2026,Hoax,Liputan6 Cek Fakta
