Teks Berita,Label,Sumber
Video Meteor Jatuh di Gorontalo Dikaitkan dengan Gempa Kepulauan Seribu,Hoax,Tempo Cek Fakta
Keliru: Detikcom Tayangkan Berita Menkeu Suahasil Tersangka Korupsi Rp 500 Triliun,Hoax,Tempo Cek Fakta
Keliru: Foto-foto Tenggelamnya KM Virgo Transport 8,Hoax,Tempo Cek Fakta
Keliru: Razia Kelengkapan Dokumen Kendaraan dari Rumah ke Rumah,Hoax,Tempo Cek Fakta
Keliru: Fenomena Hujan Darah di Kolombia,Hoax,Tempo Cek Fakta
Menyesatkan: Putin Pertanyakan Prabowo Soal Keanggotaan Indonesia di Board of Peace,Hoax,Tempo Cek Fakta
Keliru: Rekaman Penumpang KMP Virgo Transport 8 Sebelum Tenggelam,Hoax,Tempo Cek Fakta
Keliru: Indonesia Gunakan Peralatan Canggih untuk Padamkan Kebakaran Hutan dan Lahan,Hoax,Tempo Cek Fakta
Belum Ada Bukti: Air Hujan Hasil Modifikasi Cuaca Berbahaya bagi Kesehatan,Hoax,Tempo Cek Fakta
Keliru: Video Armada Udara Jepang Bantu Padamkan Kebakaran Hutan Kalimantan dalam 2 Jam,Hoax,Tempo Cek Fakta
Menyesatkan: Video Air Laut Surut sebagai Dampak Erupsi Gunung Anak Krakatau,Hoax,Tempo Cek Fakta
Keliru: Foto-foto Korban Kapal Virgo Transport 8 Terombang-Ambing di Laut,Hoax,Tempo Cek Fakta
Keliru: Video Langit Merah di Indonesia dan Jepang sebagai Pertanda Bencana Besar,Hoax,Tempo Cek Fakta
Menyesatkan: Foto dan Video Semburan Abu Vulkanik Anak Krakatau di Jakarta,Hoax,Tempo Cek Fakta
Menyesatkan: Kemenkeu Buat Aturan Pajak Baru Rumah Kontrakan Mulai 2027,Hoax,Tempo Cek Fakta
Menyesatkan: Video Detik-Detik Erupsi Gunung Anak Krakatau 2026,Hoax,Tempo Cek Fakta
Tips Memilah Informasi Akurat di Masa Bencana,Hoax,Tempo Cek Fakta
Menyesatkan: Video Warga Berlarian karena Erupsi Gunung Anak Krakatau,Hoax,Tempo Cek Fakta
Keliru: Foto Erupsi Gunung Anak Krakatau,Hoax,Tempo Cek Fakta
Keliru: Megawati Tawarkan Bantuan Modal Usaha Lewat WhatsApp,Hoax,Tempo Cek Fakta
Keliru: Tautan Program Bantuan Hewan Ternak Gratis 2026,Hoax,Tempo Cek Fakta
Menyesatkan: Produsen Vaksin HPV Bayar Kompensasi karena Menyebabkan Efek Samping,Hoax,Tempo Cek Fakta
Menyesatkan: Rekaman Semburan Lava dari Erupsi Gunung Anak Krakatau,Hoax,Tempo Cek Fakta
Keliru: Seluruh Gunung Api di Indonesia Aktif Serentak,Hoax,Tempo Cek Fakta
Menyesatkan: Kebakaran Hutan Kalimantan Terjadi Alami Akibat Penguapan Batu Bara,Hoax,Tempo Cek Fakta
Menyesatkan: Prediksi Gempa Besar akan Guncang Indonesia Sebelum Akhir Tahun 2026,Hoax,Tempo Cek Fakta
Menyesatkan: Video Banjir di Nepal Berhenti saat Mobil Seorang Muslim Lewat,Hoax,Tempo Cek Fakta
Menyesatkan: Pesawat Malaysia Ikut Padamkan Kebakaran Hutan Sumatera pada Agustus 2026,Hoax,Tempo Cek Fakta
Keliru: Rekaman Detik-detik Awal Bencana Banjir di Nepal,Hoax,Tempo Cek Fakta
Keliru: Video Masjid Tetap Berdiri Saat Diterjang Banjir Bandang di Nepal,Hoax,Tempo Cek Fakta
Keliru: Batu Shaligram Usia 140 Juta Tahun Ditemukan setelah Banjir di Nepal,Hoax,Tempo Cek Fakta
Keliru: Video Banjir Bandang Menerjang Nepal-Tibet,Hoax,Tempo Cek Fakta
Keliru: Video Gubernur Jawa Barat Dedi Mulyadi Bagi-Bagi Hadiah Kuis,Hoax,Tempo Cek Fakta
Keliru: Ahok Menyatakan Bersedia Jadi Ketua KPK Asal Hukuman Mati Koruptor Disahkan,Hoax,Tempo Cek Fakta
"Keliru: Video Kos-kosan Rahasia di Kolong Jalan Tol Bertarif Rp 2,5 Juta",Hoax,Tempo Cek Fakta
Keliru: Banjir di Perbatasan Nepal dan Tibet Dikaitkan dengan Konflik Agama,Hoax,Tempo Cek Fakta
Keliru: Tiga Video Lautan Massa Aksi Demo 27 Agustus di Jakarta Tak Diliput Media,Hoax,Tempo Cek Fakta
Menyesatkan: Pernyataan Koordinator AMPB Sebut RUU Perampasan Aset Sudah Disahkan,Hoax,Tempo Cek Fakta
